Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)",Analyte
"Trichlorophenoxypropionic acid, -2,4,5 (93-72-1)",93-72-1,510,n,6600,n,110,n,50,"Trichlorophenoxypropionic acid, -2,4,5"
"Trichloropropane, 1,1,2- (598-77-6)",598-77-6,390,n,5800,ns,88,n,,"Trichloropropane, 1,1,2-"
"Trichloropropane, 1,2,3- (96-18-4)",96-18-4,0.51,c**,11,c**,0.075,c**,,"Trichloropropane, 1,2,3-"
"Trichloropropene, 1,2,3- (96-19-5)",96-19-5,0.73,n,3.1,n,0.62,n,,"Trichloropropene, 1,2,3-"
Tricresyl Phosphate (TCP) (1330-78-5),1330-78-5,1300,n,16000,n,160,n,,Tricresyl Phosphate (TCP)
Tridiphane (58138-08-2),58138-08-2,190,n,2500,n,18,n,,Tridiphane
Triethylamine (121-44-8),121-44-8,120,n,480,n,15,n,,Triethylamine
Triethylene Glycol (112-27-6),112-27-6,130000,nm,1600000,nm,40000,n,,Triethylene Glycol
"Trifluoroethane, 1,1,1- (420-46-2)",420-46-2,15000,ns,62000,ns,42000,n,,"Trifluoroethane, 1,1,1-"
Trifluralin (1582-09-8),1582-09-8,590,n,8800,n,40,n,,Trifluralin
Trimagnesium phosphate (7757-87-1),7757-87-1,3800000,nm,57000000,nm,970000,n,,Trimagnesium phosphate
Trimethyl Phosphate (512-56-1),512-56-1,630,n,8200,n,200,n,,Trimethyl Phosphate
"Trimethylbenzene, 1,2,3- (526-73-8)",526-73-8,340,ns,2000,ns,55,n,,"Trimethylbenzene, 1,2,3-"
"Trimethylbenzene, 1,2,4- (95-63-6)",95-63-6,300,ns,1800,ns,56,n,,"Trimethylbenzene, 1,2,4-"
"Trimethylbenzene, 1,3,5- (108-67-8)",108-67-8,270,ns,1500,ns,60,n,,"Trimethylbenzene, 1,3,5-"
"Trimethylpentene, 2,4,4- (25167-70-8)",25167-70-8,780,ns,12000,ns,65,n,,"Trimethylpentene, 2,4,4-"
"Trinitrobenzene, 1,3,5- (99-35-4)",99-35-4,2200,n,32000,n,590,n,,"Trinitrobenzene, 1,3,5-"
"Trinitrotoluene, 2,4,6- (118-96-7)",118-96-7,36,n,510,n,9.8,n,,"Trinitrotoluene, 2,4,6-"
Triphenylphosphine Oxide (791-28-6),791-28-6,1300,n,16000,n,360,n,,Triphenylphosphine Oxide
Tripotassium phosphate (7778-53-2),7778-53-2,3800000,nm,57000000,nm,970000,n,,Tripotassium phosphate
Tris(1-chloro-2-propyl)phosphate (13674-84-5),13674-84-5,630,n,8200,n,190,n,,Tris(1-chloro-2-propyl)phosphate
"Tris(1,3-Dichloro-2-propyl) Phosphate (13674-87-8)",13674-87-8,1300,n,16000,n,360,n,,"Tris(1,3-Dichloro-2-propyl) Phosphate"
Tris(2-chloroethyl)phosphate (115-96-8),115-96-8,440,n,5700,n,140,n,,Tris(2-chloroethyl)phosphate
Tris(2-ethylhexyl)phosphate (78-42-2),78-42-2,6300,n,72000,c**,2000,n,,Tris(2-ethylhexyl)phosphate
"Tris(2,3-dibromopropyl)phosphate (126-72-7)",126-72-7,28,c,130,c,0.68,c,,"Tris(2,3-dibromopropyl)phosphate"
Trisodium phosphate (7601-54-9),7601-54-9,3800000,nm,57000000,nm,970000,n,,Trisodium phosphate
Tungsten (7440-33-7),7440-33-7,63,n,930,n,16,n,,Tungsten
Uranium (Soluble Salts) (E715565),E715565,16,n,230,n,4,n,30,Uranium (Soluble Salts)
Urethane (51-79-6),51-79-6,12,c,230,c,2.5,c,,Urethane
Vanadium and Compounds (7440-62-2),7440-62-2,390,n,5800,n,86,n,,Vanadium and Compounds
Vanadium Pentoxide (1314-62-1),1314-62-1,660,n,8400,n,150,n,,Vanadium Pentoxide
Vernolate (1929-77-7),1929-77-7,78,n,1200,n,11,n,,Vernolate
Vinclozolin (50471-44-8),50471-44-8,76,n,980,n,21,n,,Vinclozolin
Vinyl Acetate (108-05-4),108-05-4,910,n,3800,ns,410,n,,Vinyl Acetate
Vinyl Bromide (593-60-2),593-60-2,4.3,n,18,n,6.3,n,,Vinyl Bromide
Vinyl Chloride (75-01-4),75-01-4,5.9,c*,170,c**,1.9,c*,2,Vinyl Chloride
Warfarin (81-81-2),81-81-2,19,n,250,n,5.6,n,,Warfarin
"Xylene, m- (108-38-3)",108-38-3,550,ns,2400,ns,190,n,,"Xylene, m-"
"Xylene, o- (95-47-6)",95-47-6,650,ns,2800,ns,190,n,,"Xylene, o-"
"Xylene, P- (106-42-3)",106-42-3,560,ns,2400,ns,190,n,,"Xylene, P-"
Xylenes (1330-20-7),1330-20-7,580,ns,2500,ns,190,n,10000,Xylenes
Zinc and Compounds (7440-66-6),7440-66-6,23000,n,350000,nm,6000,n,,Zinc and Compounds
Zinc Cyanide (557-21-1),557-21-1,3900,n,58000,n,1000,n,,Zinc Cyanide
Zinc Phosphide (1314-84-7),1314-84-7,23,n,350,n,6,n,,Zinc Phosphide
Zineb (12122-67-7),12122-67-7,3200,n,41000,n,990,n,,Zineb
Zirconium (7440-67-7),7440-67-7,6.3,n,93,n,1.6,n,,Zirconium
